HLZ_moist,depth_cat,al_fe_ox.trend,SE,df,lower.CL,upper.CL,numeric.p0_al_fe_ox,numeric.p0_carbon,numeric.p50_al_fe_ox,numeric.p50_carbon,numeric.p100_al_fe_ox,numeric.p100_carbon,n
arid,0-20cm,0.32,0.04,25971,0.23,0.4,0.16,0.05,1.18,0.4,25.41,6.86,226
semiarid,0-20cm,0.46,0.02,25971,0.41,0.5,0.09,0,1.46,1.17,38.26,19.9,824
subhumid,0-20cm,0.45,0.01,25971,0.42,0.47,0,0,1.85,1.51,77.07,19.16,2794
humid,0-20cm,0.32,0.01,25971,0.31,0.34,0,0,3.05,2.1,92.3,19.98,6911
perhumid,0-20cm,0.39,0.01,25971,0.36,0.41,0.13,0.04,7.01,3.35,133.51,19.97,2209
arid,20-50cm,0.19,0.05,25971,0.1,0.29,0.16,0,1.15,0.33,28.41,2.65,175
semiarid,20-50cm,0.36,0.02,25971,0.31,0.41,0,0.01,1.45,0.63,35.8,14.26,533
subhumid,20-50cm,0.42,0.01,25971,0.4,0.45,0,0,2.16,0.83,87.89,18,1788
humid,20-50cm,0.41,0.01,25971,0.39,0.42,0,0,3.76,0.85,115.21,19.78,5081
perhumid,20-50cm,0.52,0.01,25971,0.5,0.54,0.1,0.03,8.02,1.64,141.91,19.18,2034
arid,50-100cm,0.06,0.06,25971,-0.05,0.18,0.16,0.04,0.86,0.31,18.21,4.18,103
semiarid,50-100cm,0.15,0.03,25971,0.09,0.22,0,0,1.16,0.41,35.71,13.38,292
subhumid,50-100cm,0.37,0.02,25971,0.34,0.4,0,0,1.71,0.53,96.08,17.4,1528
humid,50-100cm,0.38,0.01,25971,0.36,0.4,0,0,2.8,0.37,128.91,20,5017
perhumid,50-100cm,0.49,0.01,25971,0.46,0.52,0.16,0,5.86,0.58,127.55,18.64,1777
arid,100-200cm,0.13,0.07,25971,0,0.26,0.16,0,0.8,0.21,19.9,0.97,75
semiarid,100-200cm,0.09,0.05,25971,0,0.18,0.06,0,0.9,0.28,22.45,1.85,192
subhumid,100-200cm,0.31,0.02,25971,0.27,0.35,0,0,1.41,0.33,99.89,16.3,1215
humid,100-200cm,0.31,0.01,25971,0.29,0.34,0,0,2.11,0.26,160.35,19.2,3231
perhumid,100-200cm,0.37,0.02,25971,0.33,0.42,0.16,0,4.52,0.31,126.16,9.18,1057
