HLZ_temp,depth_cat,al_fe_ox.trend,SE,df,lower.CL,upper.CL,numeric.p0_al_fe_ox,numeric.p0_carbon,numeric.p50_al_fe_ox,numeric.p50_carbon,numeric.p100_al_fe_ox,numeric.p100_carbon,n
(sub-)polar,0-20cm,0.29,0.03,25964,0.24,0.34,0.28,0.09,3.81,3.43,111.16,19.97,602
boreal,0-20cm,0.4,0.02,25964,0.36,0.43,0.16,0.04,4.3,2.58,64.1,18.63,1409
cool temperate,0-20cm,0.42,0.01,25964,0.41,0.44,0.12,0,2.86,1.98,77.2,19.93,6360
warm temperate,0-20cm,0.42,0.02,25964,0.39,0.45,0,0.04,2.39,1.64,133.51,19.98,2131
subtropical,0-20cm,0.45,0.02,25964,0.42,0.48,0,0,2.77,1.86,92.3,19.52,1794
tropical,0-20cm,0.48,0.02,25964,0.43,0.53,0.21,0.12,3.3,1.86,81.06,19.9,668
(sub-)polar,20-50cm,0.43,0.02,25964,0.38,0.47,0.36,0.03,4.66,1.98,97.06,19.78,615
boreal,20-50cm,0.51,0.02,25964,0.48,0.54,0.16,0.03,5.38,1.17,72.05,18.85,1220
cool temperate,20-50cm,0.45,0.01,25964,0.43,0.46,0.09,0,3.91,0.95,93.65,18.28,4250
warm temperate,20-50cm,0.44,0.01,25964,0.41,0.47,0.06,0.01,2.7,0.62,141.91,19.38,1488
subtropical,20-50cm,0.53,0.01,25964,0.51,0.56,0,0,2.84,0.94,118.26,14.86,1536
tropical,20-50cm,0.45,0.03,25964,0.4,0.5,0,0.08,2.92,0.81,73.4,18,502
(sub-)polar,50-100cm,0.41,0.03,25964,0.35,0.47,0.16,0,3.95,1.04,110.36,18.64,459
boreal,50-100cm,0.46,0.02,25964,0.42,0.5,0.15,0,3.3,0.47,100.21,18.64,1106
cool temperate,50-100cm,0.33,0.01,25964,0.31,0.35,0,0,2.76,0.42,102.76,12.03,4347
warm temperate,50-100cm,0.41,0.02,25964,0.38,0.44,0.08,0,2.51,0.32,127.55,20,1533
subtropical,50-100cm,0.52,0.02,25964,0.48,0.55,0,0,2.2,0.46,128.91,14.11,975
tropical,50-100cm,0.39,0.04,25964,0.32,0.46,0,0.03,3.61,0.63,71.01,13.38,297
(sub-)polar,100-200cm,0.29,0.05,25964,0.18,0.4,0.21,0.03,2.5,0.46,58.9,17.06,97
boreal,100-200cm,0.35,0.03,25964,0.3,0.41,0.16,0,2.21,0.26,62.25,9.11,545
cool temperate,100-200cm,0.23,0.01,25964,0.2,0.25,0.15,0,2.11,0.28,84.55,10.68,2869
warm temperate,100-200cm,0.37,0.02,25964,0.33,0.41,0.06,0,2.06,0.21,126.16,19.2,1154
subtropical,100-200cm,0.5,0.03,25964,0.45,0.55,0,0,1.75,0.32,160.35,13.98,880
tropical,100-200cm,0.41,0.05,25964,0.32,0.51,0.26,0,3.16,0.38,72.5,7.56,225
